CRASH DATE TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CONTRIBUTING CATEGORY V1,SEASON,TIME OF DAY,IS RUSH HOUR
2023-01-19 10:00:00,QUEENS,11370,40.761314,-73.885475,1,0,Driver Inattention/Distraction,4599065,Sedan,Driver Error,Winter,Late Morning,False
2023-01-19 11:28:00,BROOKLYN,11212,40.656273,-73.90731,1,0,Failure to Yield Right-of-Way,4602807,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Late Morning,False
2023-01-19 12:15:00,BROOKLYN,11235,40.585556,-73.94881,0,0,Driver Inattention/Distraction,4599026,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early Afternoon,False
2023-01-19 12:30:00,BROOKLYN,11233,40.685913,-73.92062,1,0,Driver Inattention/Distraction,4601422,Sedan,Driver Error,Winter,Early Afternoon,False
2023-01-19 12:30:00,BROOKLYN,11221,40.694496,-73.91482,0,0,Traffic Control Disregarded,4599037,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Early Afternoon,False
2023-01-19 12:52:00,BROOKLYN,11220,40.64712,-74.01517,0,0,Other Vehicular,4599278,Sedan,Third-Party (Vehicular),Winter,Early Afternoon,False
2023-01-19 12:52:00,BROOKLYN,11217,40.686928,-73.98484,1,0,Driver Inattention/Distraction,4599049,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early Afternoon,False
2023-01-19 13:00:00,QUEENS,11422,40.678078,-73.72602,1,0,Pavement Slippery,4599119,Sedan,Road Conditions,Winter,Early Afternoon,False
2023-01-19 13:31:00,BROOKLYN,11228,40.620304,-74.00743,0,0,Following Too Closely,4599298,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Early Afternoon,False
2023-01-19 14:05:00,BROOKLYN,11215,40.668617,-73.98515,1,0,Turning Improperly,4599732,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Afternoon,False
2023-01-19 14:30:00,BROOKLYN,11232,40.664173,-73.99509,0,0,Passing or Lane Usage Improper,4599282,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Afternoon,False
2023-01-19 14:40:00,BROOKLYN,11214,40.587265,-73.983475,0,0,Driver Inexperience,4599561,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Afternoon,False
